,"Consumer Price Index for All Urban Consumers (CPI-U): U.S. city average, by expenditure category, October 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Sep.
2019",Unadjusted indexes,,,,,,,,,,,,,Seasonally adjusted indexes,,,,,,,,,,,,,Unadjusted percent change,,,,Seasonally adjusted percent change,,,One Month,,,,Twelve Month,,,
,,,"Oct.
2018","Nov.
2018","Dec.
2018","Jan.
2019","Feb.
2019","Mar.
2019","Apr.
2019","May
2019","Jun.
2019","Jul.
2019","Aug.
2019","Sep.
2019","Oct.
2019","Oct.
2018","Nov.
2018","Dec.
2018","Jan.
2019","Feb.
2019","Mar.
2019","Apr.
2019","May
2019","Jun.
2019","Jul.
2019","Aug.
2019","Sep.
2019","Oct.
2019","Oct.
2018-
Oct.
2019","Jul.
2019-
Aug.
2019","Aug.
2019-
Sep.
2019","Sep.
2019-
Oct.
2019","Jul.
2019-
Aug.
2019","Aug.
2019-
Sep.
2019","Sep.
2019-
Oct.
2019","Seasonally adjusted effect on All Items
Sep. 2019-
Oct. 2019(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) seasonally adjusted change since:(3),,"Unadjusted effect on All Items
Oct. 2018-
Oct. 2019(1)","Standard error, median price change(2)(4)",Largest (L) or Smallest (S) unadjusted change since:(3),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,Percent change,,,Date,Percent change
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,All items,100,252.885,252.038,251.233,251.712,252.776,254.202,255.548,256.092,256.143,256.571,256.558,256.759,257.346,252.794,252.76,252.723,252.673,253.113,254.148,254.958,255.155,255.305,256.161,256.3,256.358,257.271,1.8,0,0.1,0.2,0.1,0,0.4,,0.04,L-Mar. 2019,0.4,,–,L-Jul. 2019,1.8
1,Food,13.245,254.358,254.379,255.21,256.417,257.222,257.724,257.708,258.11,258.064,258.274,258.41,258.943,259.632,254.115,254.616,255.501,256.059,257.097,257.812,257.543,258.224,258.33,258.399,258.393,258.758,259.386,2.1,0.1,0.2,0.3,0,0.1,0.2,0.032,0.08,L-May 2019,0.3,0.274,–,L-Mar. 2019,2.1
2,Food at home,7.176,239.882,239.352,239.989,241.381,242.057,242.555,241.878,242.145,241.407,241.359,241.153,241.543,242.34,239.464,239.76,240.49,240.765,241.843,242.707,241.593,242.341,241.866,241.573,241.124,241.226,241.918,1,-0.1,0.2,0.3,-0.2,0,0.3,0.021,0.12,L-May 2019,0.3,0.074,–,L-May 2019,1.2
3,Cereals and bakery products,0.951,272.26,273.24,274.321,275.05,275.996,277.275,276.64,277.795,276.891,277.49,276.619,277.308,276.47,272.753,274.269,275.335,274.288,276.162,276.976,276.629,277.762,276.175,277.008,276.1,277.38,276.971,1.5,-0.3,0.2,-0.3,-0.3,0.5,-0.1,-0.001,0.29,S-Aug. 2019,-0.3,0.015,–,L-Jul. 2019,1.5
4,Cereals and cereal products,0.303,224.065,224.32,225.635,225.52,226.821,230.342,228.745,228.305,230.024,230.425,228.385,226.997,226.009,224.615,226.1,226.763,225.414,226.878,230.781,228.567,227.772,229.249,229.117,227.181,227.038,226.564,0.9,-0.9,-0.6,-0.4,-0.8,-0.1,-0.2,-0.001,0.57,S-Aug. 2019,-0.8,0.003,–,L-Jul. 2019,1.1
